"product.productid","product.total_amount","product.total_quantity","product.total_customer"
"74302","49.9900016785","1","1"
"74339","63.3300018311","4","4"
"74341","18.75","1","1"
"74342","25.0","1","1"
"74344","85.1699981689","3","3"
"74350","474.0","13","11"
"74355","80.0","1","1"
"74376","379.0","1","1"
"74399","133.5","2","2"
"74425","297.5","2","2"
"74431","3914.0","15","15"
"74460","245.0","2","2"
"74597","79.0","1","1"
"74795","66.0","1","1"
"74826","263.769989014","6","6"
"74864","29.9899997711","1","1"
"75123","27.8999996185","1","1"
"75131","52.4199981689","1","1"
"75161","75.9899978638","2","2"
"75162","387.279998779","4","3"
"75203","458.690002441","6","6"
"75216","59.25","1","1"
"75317","70.0","1","1"
"75353","89.9800033569","2","1"
"75436","417.0","4","4"
"75469","676.0","1","1"
"75556","7.5","1","1"
"75890","234.990005493","2","2"
"75892","59.9899978638","2","2"
"75949","66.0800018311","1","1"
"75953","170.0","1","1"
"75986","161.699996948","1","1"
"76223","90.0","1","1"
"76267","112.5","1","1"
"76287","105.0","1","1"
"76317","79.9899978638","1","1"
"76322","37.4900016785","1","1"
"76327","193.119995117","2","2"
"76353","29.25","1","1"
"76370","56.8199996948","1","1"
"76391","65.0","1","1"
"76392","105.0","1","1"
"76423","47.5","1","1"
"76929","180.0","1","1"
"76954","84.0","1","1"
"76960","75.0","1","1"
"76976","200.0","2","2"
"76988","111.0","1","1"
"76995","70.0","1","1"
"77000","165.0","2","2"
"77011","834.5","2","2"
"77012","514.0","6","6"
"77013","68.5","1","1"
"77016","2761.0","13","12"
"77018","78.0","1","1"
"77026","82.5","1","1"
"77027","182.0","2","2"
"77050","850.0","20","18"
"77051","456.0","3","3"
"77106","46.2000007629","2","2"
"77107","104.990005493","3","3"
"77256","85.0","1","1"
"77285","164.25","1","1"
"77418","140.0","1","1"
"77419","74.25","1","1"
"77460","45.0","1","1"
"77488","123.75","1","1"
"77489","303.75","3","3"
"77490","653.25","4","4"
"77491","725.989990234","2","2"
"77492","423.75","2","2"
"77493","636.0","2","2"
"77501","362.5","3","3"
"77502","123.75","1","1"
"77506","1712.72998047","6","6"
"77520","290.25","3","3"
"77529","316.239990234","3","3"
"77584","207.699996948","2","2"
"77600","100.0","1","1"
"77622","86.25","1","1"
"77653","245.0","4","4"
"77670","79.9899978638","1","1"
"77685","734.809997559","10","10"
"77686","300.470001221","5","5"
"77694","215.880004883","3","3"
"77706","80.0","1","1"
"77810","99.0","1","1"
"77926","108.0","2","2"
"77936","41.2999992371","1","1"
"78021","96.0","1","1"
"78077","30.0","1","1"
"78111","415.0","4","4"
"78128","22.4200000763","1","1"
"78148","111.75","1","1"
"78206","160.86000061","3","3"
"78238","127.5","1","1"
"78425","99.9899978638","1","1"
"78475","30.0","1","1"
"78670","109.989997864","1","1"
"78721","67.5","2","2"
"78755","74.9899978638","1","1"
"78758","49.9900016785","1","1"
"78785","35.0","1","1"
"78809","56.25","1","1"
"78860","36.5499992371","2","2"
"78899","89.9800033569","2","2"
"78902","666.969970703","5","5"
"78922","69.9899978638","1","1"
"78942","69.0","1","1"
"78966","232.909988403","3","3"
"78987","44.9900016785","1","1"
"79018","75.0","1","1"
"79028","70.0","1","1"
"79055","71.25","1","1"
"79056","460.0","6","6"
"79057","373.739990234","6","6"
"79064","875.0","2","2"
"79066","86.25","1","1"
"79069","97.5","1","1"
"79077","160.0","1","1"
"79097","17.0","1","1"
"79127","82.5","1","1"
"79212","435.0","1","1"
"79215","329.0","1","1"
"79232","441.75","1","1"
"79282","59.9900016785","1","1"
