"customer.customerid","customer.dominant_gender","customer.dominant_size","customer.last_purchase_date"
"11228640","Femme","38 - 42 (M)","2015-11-01 19:33:18.0"
"11235182","Homme","T.U","2015-11-01 20:25:10.0"
"11236095","Femme","T.U","2015-11-01 18:32:16.0"
"11242501","Femme","41","2015-11-01 09:23:06.0"
"11243307","Femme","38","2015-11-01 16:57:03.0"
"11245531","Femme","37","2015-11-01 12:18:02.0"
"11246523","Enfant","31","2015-11-01 18:03:10.0"
"11247952","Femme","38","2015-11-01 09:06:08.0"
"11254958","Homme","41","2015-11-01 13:47:00.0"
"11257330","Femme","41","2015-11-01 19:48:18.0"
"11258193","Homme","T.U","2015-11-01 08:44:04.0"
"11260111","Femme","43 1/3","2015-11-01 20:09:10.0"
"11261469","Enfant","35","2015-11-01 22:41:14.0"
"11264605","Homme","45","2015-11-01 22:39:05.0"
"11268694","Homme","43","2015-11-01 20:42:15.0"
"11271715","Femme","40","2015-11-01 22:01:12.0"
"11271922","Enfant","43","2015-11-01 13:21:03.0"
"11273596","Femme","36","2015-11-01 18:46:16.0"
"11274507","Homme","41 1/2","2015-11-01 18:08:09.0"
"11275850","Femme","39","2015-11-01 22:14:02.0"
"11277698","Femme","39","2015-11-01 09:08:00.0"
"11280065","Homme","41","2015-11-01 20:30:12.0"
"11281216","Femme","36","2015-11-01 21:46:01.0"
"11283088","Homme","40","2015-11-01 21:12:14.0"
"11286764","Femme","36","2015-11-01 01:12:16.0"
"11291238","Femme","38 1/2","2015-11-01 20:16:14.0"
"11293353","Femme","38","2015-11-01 22:23:14.0"
"11294083","Homme","44","2015-11-01 20:40:09.0"
"11294691","Homme","44","2015-11-01 11:10:05.0"
"11297916","Homme","45","2015-11-01 15:32:01.0"
"11298217","Femme","40","2015-11-01 18:54:00.0"
"11300154","Femme","39","2015-11-01 10:48:11.0"
"11302212","Femme","39","2015-11-01 22:33:09.0"
"11318914","Homme","43","2015-11-01 10:23:14.0"
"11327431","Femme","36","2015-11-01 21:41:15.0"
"11330101","Accessoires","T.U","2015-11-01 18:19:18.0"
"11332518","Homme","41","2015-11-01 22:23:12.0"
"11333505","Femme","37","2015-11-01 11:38:07.0"
"11334246","Sacs","T.U","2015-11-01 16:43:02.0"
"11335222","Femme","42","2015-11-01 21:43:11.0"
"11336041","Femme","40 2/3","2015-11-01 18:32:18.0"
"11336145","Femme","38","2015-11-01 18:12:10.0"
"11342174","Femme","39","2015-11-01 10:35:13.0"
"11343612","Homme","T.U","2015-11-01 18:55:19.0"
"11345171","Femme","36","2015-11-01 21:58:17.0"
"11351490","Homme","40","2015-11-01 14:22:16.0"
"11351710","Femme","39","2015-11-01 10:54:13.0"
"11355223","Femme","37","2015-11-01 16:58:08.0"
"11356418","Femme","39","2015-11-01 09:32:15.0"
"11359956","Femme","40","2015-11-01 18:48:13.0"
"11361143","Femme","36","2015-11-01 00:05:01.0"
"11370316","Femme","T.U","2015-11-01 09:16:04.0"
"11371151","Femme","38","2015-11-01 13:30:14.0"
"11375681","Femme","36","2015-11-01 17:19:16.0"
"11376600","Femme","39","2015-11-01 23:11:05.0"
"11377118","Femme","37","2015-11-01 20:53:04.0"
"11386463","Homme","42","2015-11-01 19:48:09.0"
"11387531","Homme","42","2015-11-01 20:55:08.0"
"11389299","Femme","39","2015-11-01 09:46:07.0"
"11389750","Enfant","26","2015-11-01 09:51:16.0"
"11390469","Femme","40","2015-11-01 11:46:16.0"
"11393264","Femme","40","2015-11-01 15:32:00.0"
"11401003","Homme","43","2015-11-01 09:42:00.0"
"11406402","Accessoires","T.U","2015-11-01 14:36:15.0"
"11418194","Femme","39","2015-11-01 12:35:08.0"
"11420820","Homme","42","2015-11-01 08:29:06.0"
"11424965","Femme","38","2015-11-01 18:10:01.0"
"11430094","Femme","38","2015-11-01 20:37:16.0"
"11431394","Femme","37","2015-11-01 20:50:01.0"
"11431948","Homme","43","2015-11-01 21:35:09.0"
"11441233","Homme","43","2015-11-01 08:10:09.0"
"11441759","Femme","37","2015-11-01 09:35:00.0"
"11452715","Femme","37","2015-11-01 11:37:14.0"
"11453108","Homme","42","2015-11-01 12:19:12.0"
"11457344","Femme","39","2015-11-01 14:48:19.0"
"11477890","Homme","39","2015-11-01 15:56:15.0"
"11492780","Homme","44","2015-11-01 19:12:05.0"
"11493709","Femme","40","2015-11-01 11:17:19.0"
"11498070","Enfant","31","2015-11-01 08:23:05.0"
"11503000","Femme","38","2015-11-01 08:26:14.0"
"11504332","Femme","36","2015-11-01 06:46:14.0"
"11509493","Femme","39","2015-11-01 12:42:04.0"
"11516305","Femme","41","2015-11-01 22:00:09.0"
"11517173","Homme","47","2015-11-01 19:23:05.0"
"11518639","Enfant","35","2015-11-01 08:23:18.0"
"11519829","Enfant","34","2015-11-01 10:10:04.0"
